t_s,i_a,soc,vp_v,ocv_v,vt_v
0.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
1.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
2.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
3.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
4.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
5.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
6.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
7.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
8.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
9.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
10.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
11.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
12.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
13.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
14.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
15.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
16.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
17.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
18.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
19.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
20.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
21.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
22.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
23.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
24.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
25.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
26.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
27.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
28.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
29.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
30.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
31.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
32.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
33.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
34.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
35.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
36.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
37.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
38.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
39.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
40.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
41.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
42.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
43.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
44.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
45.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
46.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
47.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
48.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
49.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
50.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
51.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
52.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
53.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
54.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
55.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
56.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
57.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
58.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
59.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
60.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
61.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
62.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
63.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
64.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
65.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
66.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
67.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
68.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
69.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
70.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
71.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
72.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
73.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
74.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
75.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
76.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
77.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
78.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
79.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
80.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
81.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
82.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
83.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
84.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
85.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
86.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
87.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
88.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
89.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
90.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
91.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
92.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
93.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
94.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
95.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
96.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
97.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
98.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
99.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
100.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
101.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
102.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
103.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
104.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
105.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
106.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
107.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
108.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
109.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
110.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
111.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
112.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
113.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
114.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
115.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
116.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
117.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
118.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
119.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
120.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
121.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
122.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
123.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
124.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
125.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
126.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
127.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
128.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
129.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
130.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
131.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
132.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
133.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
134.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
135.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
136.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
137.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
138.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
139.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
140.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
141.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
142.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
143.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
144.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
145.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
146.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
147.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
148.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
149.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
150.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
151.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
152.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
153.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
154.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
155.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
156.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
157.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
158.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
159.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
160.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
161.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
162.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
163.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
164.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
165.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
166.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
167.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
168.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
169.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
170.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
171.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
172.0,0.0,0.95,0.0,3.968714626222782,3.968714626222782
